"1870";"DPA";"NACIONAL / ANGOLA (DPA)";"1";"/293/2/";"/293/"
"251804";"1";"MESA 1";"128";"/293/2/1/1/1/4/1/";"/293/2/1/1/1/4/"
"690522";"2";"MESA 2";"128";"/293/2/1/1/1/4/2/";"/293/2/1/1/1/4/"
"252011";"2095";"ESCOLA PRIMÁRIA DO TCHIZO";"64";"/293/2/1/1/1/40/";"/293/2/1/1/1/"
"252012";"1";"MESA 1";"128";"/293/2/1/1/1/40/1/";"/293/2/1/1/1/40/"
"252013";"2";"MESA 2";"128";"/293/2/1/1/1/40/2/";"/293/2/1/1/1/40/"
"252014";"3";"MESA 3";"128";"/293/2/1/1/1/40/3/";"/293/2/1/1/1/40/"
"690552";"4";"MESA 4";"128";"/293/2/1/1/1/40/4/";"/293/2/1/1/1/40/"
"690553";"5";"MESA 5";"128";"/293/2/1/1/1/40/5/";"/293/2/1/1/1/40/"
"252015";"2096";"ESCOLA PRIMÁRIA DO TCHIZO (2)";"64";"/293/2/1/1/1/41/";"/293/2/1/1/1/"
"252016";"1";"MESA 1";"128";"/293/2/1/1/1/41/1/";"/293/2/1/1/1/41/"
"252017";"2";"MESA 2";"128";"/293/2/1/1/1/41/2/";"/293/2/1/1/1/41/"
"252018";"3";"MESA 3";"128";"/293/2/1/1/1/41/3/";"/293/2/1/1/1/41/"
"252019";"4";"MESA 4";"128";"/293/2/1/1/1/41/4/";"/293/2/1/1/1/41/"
"252020";"5";"MESA 5";"128";"/293/2/1/1/1/41/5/";"/293/2/1/1/1/41/"
"252026";"2097";"RECINTO AEROPORTUÁRIA DE CABINDA";"64";"/293/2/1/1/1/42/";"/293/2/1/1/1/"
"252027";"1";"MESA 1";"128";"/293/2/1/1/1/42/1/";"/293/2/1/1/1/42/"
"252028";"2";"MESA 2";"128";"/293/2/1/1/1/42/2/";"/293/2/1/1/1/42/"
"252029";"3";"MESA 3";"128";"/293/2/1/1/1/42/3/";"/293/2/1/1/1/42/"
"252030";"4";"MESA 4";"128";"/293/2/1/1/1/42/4/";"/293/2/1/1/1/42/"
"252031";"5";"MESA 5";"128";"/293/2/1/1/1/42/5/";"/293/2/1/1/1/42/"
"252032";"2098";"ESCOLA PRIMARIA DE LOMBE";"64";"/293/2/1/1/1/43/";"/293/2/1/1/1/"
"252033";"1";"MESA 1";"128";"/293/2/1/1/1/43/1/";"/293/2/1/1/1/43/"
"252034";"2";"MESA 2";"128";"/293/2/1/1/1/43/2/";"/293/2/1/1/1/43/"
